FPS,JANK,BigJANK,Max FrameTime(ms),CPU(%),CPU0(%),CPU1(%),CPU2(%),CPU3(%),CPU4(%),CPU5(%),CPU6(%),CPU7(%),CPU0(MHz),CPU1(MHz),CPU2(MHz),CPU3(MHz),CPU4(MHz),CPU5(MHz),CPU6(MHz),CPU7(MHz),CPU(°C),DDR(MHz),GPU(%),GPU(KHz),Battery(%),Battery(°C),Battery(mA),Battery(volt)
51,0,0,49.51,49.54,51.76,48.42,52.13,55.67,65.63,42.86,30.53,49.49,2000,2000,2000,2000,1000,1000,1000,1000,82.90,4266,86.00,822,58,43.30,2406,3.827
54,0,0,49.69,52.41,56.52,55.10,53.00,60.00,63.37,51.43,31.00,51.02,2000,2000,2000,2000,2000,2000,2000,1400,82.90,5500,98.00,852,58,43.30,1713,3.827
50,0,0,49.43,49.08,57.78,54.35,49.47,42.27,55.21,51.55,32.98,49.50,900,900,900,900,1500,1500,1500,500,82.30,1866,98.00,852,58,43.30,1713,3.861
50,1,1,82.50,45.91,54.84,53.00,46.32,63.00,45.63,33.67,25.51,47.00,2000,2000,2000,2000,2850,2850,2850,2450,89.30,5500,98.00,852,58,43.30,1713,3.861
55,0,0,33.00,43.15,45.98,47.00,40.21,38.95,55.10,43.56,27.84,42.72,2000,2000,2000,2000,2850,2850,2850,2850,78.90,5500,100.00,695,58,43.30,1619,3.861
56,0,0,33.02,44.09,55.21,48.42,41.84,48.04,45.54,41.58,35.35,36.46,850,850,850,850,1000,1000,1000,1800,81.20,2133,96.00,852,58,43.30,1619,3.879
55,0,0,33.02,42.63,52.58,53.47,44.44,42.27,47.52,30.30,31.31,38.61,800,800,800,800,1400,1400,1400,1600,78.30,2667,92.00,504,58,43.30,1619,3.879
58,0,0,33.00,46.12,54.74,52.58,49.48,43.62,63.27,35.71,19.61,52.94,850,850,850,850,2000,2000,2000,2000,78.90,5500,98.00,852,58,43.30,1339,3.879
52,1,1,132.04,45.59,48.31,51.58,45.92,55.56,46.81,35.35,24.49,56.70,1400,1400,1400,1400,1700,1700,1700,1800,79.40,5500,91.00,800,58,43.30,1339,3.87
60,0,0,33.00,44.43,53.76,52.53,42.27,46.46,60.40,40.40,18.18,37.76,1050,1050,1050,1050,1500,1500,1500,1500,79.80,5500,99.00,822,58,43.30,1339,3.87
60,0,0,33.00,45.61,55.43,50.54,49.02,48.48,61.54,41.18,18.37,40.21,1100,1100,1100,1100,1900,1900,1900,1500,80.40,5500,94.00,852,58,43.30,1653,3.87
58,0,0,33.01,43.20,51.61,54.17,40.22,41.49,54.17,41.67,22.58,39.58,1000,1000,1000,1000,2850,2850,2850,2450,81.50,6400,95.00,852,58,43.30,1653,3.863
56,0,0,33.01,44.35,53.13,51.02,44.55,42.86,46.00,34.34,34.69,51.00,800,800,800,800,2850,2850,2850,500,81.90,6400,98.00,852,58,43.30,1653,3.863
57,0,0,33.05,48.68,52.22,50.00,44.68,50.00,51.06,50.50,40.00,51.55,1300,1300,1300,1300,2150,2150,2150,2150,81.80,5500,99.00,852,58,43.30,1895,3.863
50,0,0,49.51,48.35,52.22,54.00,46.32,42.71,55.00,44.90,36.63,53.06,800,800,800,800,2250,2250,2250,600,81.50,5500,98.00,852,58,43.30,1895,3.848
52,0,0,33.04,53.65,56.04,56.04,43.96,44.09,63.27,60.42,45.45,60.82,950,950,950,950,1100,1100,1100,1100,80.20,5500,74.00,852,58,43.30,1895,3.848
60,0,0,32.99,46.63,53.33,52.53,48.48,50.51,65.66,38.38,21.00,44.12,800,800,800,800,800,800,800,800,81.10,4266,98.00,852,58,43.30,1585,3.848
52,0,0,33.03,48.60,54.95,50.55,42.55,44.57,51.06,48.96,39.80,56.84,2000,2000,2000,2000,1400,1400,1400,1300,80.80,5500,94.00,852,58,43.30,1585,3.848
57,0,0,33.02,44.72,53.13,49.45,37.63,45.10,59.60,40.40,29.00,42.71,800,800,800,800,1900,1900,1900,800,80.40,5500,4.00,852,58,43.30,1585,3.861
51,0,0,33.05,45.91,53.33,52.00,42.86,40.22,54.17,44.44,27.37,52.53,1500,1500,1500,1500,600,600,600,500,80.30,4266,99.00,852,58,43.30,1664,3.861
57,0,0,33.04,52.39,56.04,55.56,43.96,46.32,69.31,47.52,38.00,64.65,2000,2000,2000,2000,1000,1000,1000,1000,80.90,4266,98.00,852,58,43.30,1664,3.861
54,0,0,33.09,48.40,52.17,51.06,43.75,40.00,58.59,44.44,39.22,56.00,1100,1100,1100,1100,800,800,800,800,81.00,4266,98.00,852,58,43.30,1664,3.856
57,0,0,33.03,50.52,55.56,51.61,46.32,50.00,63.92,45.36,41.41,50.00,1100,1100,1100,1100,1900,1900,1900,600,77.60,2667,60.00,521,58,43.30,1645,3.856
58,0,0,33.00,47.25,57.45,53.19,52.00,49.49,61.46,34.38,25.74,45.10,800,800,800,800,1700,1700,1700,1800,78.80,4266,99.00,800,58,43.30,1645,3.856
57,0,0,49.49,45.26,51.09,48.94,45.36,40.43,54.17,38.38,25.00,59.18,1300,1300,1300,1300,1600,1600,1600,1600,79.40,5500,97.00,852,58,43.50,1645,3.866
55,0,0,33.01,46.43,58.76,48.91,45.36,51.04,52.53,35.79,26.04,51.52,1050,1050,1050,1050,1400,1400,1400,1100,80.50,5500,98.00,852,58,43.50,1653,3.866
56,0,0,49.54,45.41,51.14,52.69,41.30,43.16,55.79,47.37,22.34,49.48,800,800,800,800,2850,2850,2850,2850,80.30,6400,97.00,852,58,43.50,1653,3.866
59,0,0,33.01,47.59,53.93,51.04,42.55,40.43,59.79,50.98,29.17,54.46,1900,1900,1900,1900,2850,2850,2850,500,80.60,5500,98.00,852,58,43.50,1664,3.861
52,0,0,49.51,46.34,51.69,53.06,44.57,44.79,50.96,35.48,41.67,45.36,1250,1250,1250,1250,2000,2000,2000,1900,81.60,5500,99.00,852,58,43.50,1785,3.861
49,0,0,49.51,48.44,54.74,52.00,50.00,43.88,53.40,45.71,36.27,54.00,1100,1100,1100,1100,2450,2450,2450,2450,82.40,5500,98.00,852,58,43.50,1785,3.861
58,0,0,33.25,49.21,53.68,50.54,42.11,41.05,68.37,50.00,36.17,48.39,2000,2000,2000,2000,1300,1300,1300,1400,82.20,4266,97.00,852,58,43.50,1785,3.861
60,0,0,32.98,44.62,49.43,50.49,35.23,44.33,66.34,37.37,23.00,49.51,2000,2000,2000,2000,1900,1900,1900,1000,80.60,4266,97.00,773,58,43.50,1649,3.852
57,0,0,33.02,44.90,56.25,55.56,41.49,32.58,65.63,40.00,20.83,46.94,800,800,800,800,1900,1900,1900,1600,81.30,3200,98.00,852,58,43.50,1649,3.852
55,0,0,33.01,51.02,56.52,55.67,49.48,50.00,61.17,38.95,40.59,55.45,1300,1300,1300,1300,1600,1600,1600,1100,81.00,4266,98.00,800,58,43.50,1717,3.852
58,0,0,33.02,44.97,49.44,51.02,44.09,40.00,56.04,44.68,26.37,47.37,900,900,900,900,1400,1400,1400,1300,80.90,5500,99.00,822,58,43.50,1683,3.854
59,0,0,33.02,44.13,53.68,51.09,48.00,39.36,59.78,37.89,22.68,42.42,1300,1300,1300,1300,1300,1300,1300,1400,80.00,4266,70.00,800,58,43.50,1683,3.854
57,0,0,33.02,42.66,52.63,49.49,43.56,39.39,58.00,38.38,22.00,38.54,850,850,850,850,1400,1400,1400,1300,80.90,5500,98.00,852,58,43.50,1683,3.854
57,0,0,33.00,47.01,52.69,51.65,45.16,46.88,57.14,47.37,24.74,51.04,850,850,850,850,1600,1600,1600,1600,79.30,5500,98.00,747,58,43.50,1657,3.863
