FPS,JANK,BigJANK,Max FrameTime(ms),CPU(%),CPU0(%),CPU1(%),CPU2(%),CPU3(%),CPU4(%),CPU5(%),CPU6(%),CPU7(%),CPU0(MHz),CPU1(MHz),CPU2(MHz),CPU3(MHz),CPU4(MHz),CPU5(MHz),CPU6(MHz),CPU7(MHz),CPU(°C),DDR(MHz),GPU(%),GPU(KHz),Battery(%),Battery(°C),Battery(mA),Battery(volt)
56,0,0,33.04,44.51,52.04,47.37,41.05,44.55,39.00,47.06,36.89,47.96,900,900,900,900,1800,1800,1800,1900,79.50,5500,98.00,852,57,43.80,1388,3.865
55,0,0,33.04,46.65,50.52,46.24,40.43,43.30,57.89,39.58,36.63,55.45,1250,1250,1250,1250,1600,1600,1600,600,80.20,3200,99.00,852,57,43.80,1388,3.865
52,0,0,33.02,46.77,50.55,49.49,40.21,39.58,53.06,42.86,46.00,55.88,1400,1400,1400,1400,1100,1100,1100,1200,80.50,4266,98.00,852,57,43.80,1755,3.85
52,0,0,33.04,54.61,57.30,54.74,50.00,52.08,63.83,59.79,35.87,61.46,2000,2000,2000,2000,1400,1400,1400,1500,79.40,4266,95.00,852,57,43.80,1755,3.85
59,0,0,33.00,53.03,55.79,52.69,51.04,58.51,64.95,56.84,30.93,53.68,2000,2000,2000,2000,1700,1700,1700,1300,79.80,5500,86.00,845,57,43.80,1755,3.85
52,0,0,33.03,46.86,55.45,48.04,34.04,37.62,57.84,51.46,38.89,51.85,950,950,950,950,1400,1400,1400,500,80.00,6400,91.00,837,57,43.90,1763,3.859
58,0,0,49.50,45.88,56.70,46.94,45.92,44.33,57.58,43.43,25.77,45.63,1150,1150,1150,1150,1100,1100,1100,1700,79.40,4266,89.00,852,57,43.90,1763,3.859
58,0,0,33.05,44.84,53.26,47.25,38.20,38.04,59.14,39.39,32.29,50.98,950,950,950,950,2850,2850,2850,2850,80.40,6400,98.00,852,57,43.90,1763,3.859
55,0,0,33.02,50.32,56.38,53.61,48.45,51.00,53.00,55.00,29.17,56.57,800,800,800,800,1200,1200,1200,2850,79.10,6400,98.00,852,57,43.90,1717,3.854
44,0,0,82.53,43.70,51.09,46.88,47.92,46.39,52.58,39.22,21.65,42.27,950,950,950,950,1100,1100,1100,1100,80.30,4266,98.00,852,57,43.90,1717,3.854
53,0,0,33.01,48.81,52.81,50.54,57.00,49.47,60.64,42.39,36.73,44.55,1400,1400,1400,1400,1200,1200,1200,1300,77.30,3200,97.00,642,57,43.90,1717,3.854
55,0,0,33.00,46.19,54.55,52.53,39.36,45.36,59.79,45.00,27.00,45.10,1400,1400,1400,1400,2000,2000,2000,500,80.00,5500,98.00,852,57,43.90,1407,3.854
49,0,0,49.50,44.30,52.58,43.16,40.21,35.42,54.90,44.44,32.00,48.51,1800,1800,1800,1800,1500,1500,1500,500,80.20,2667,94.00,773,57,43.90,1407,3.856
60,0,0,33.00,47.23,56.57,52.17,51.02,50.00,55.21,48.98,22.68,43.43,1200,1200,1200,1200,1600,1600,1600,1700,76.80,4266,97.00,538,57,43.90,1407,3.856
49,2,1,99.03,50.51,56.84,46.81,44.79,49.50,68.75,49.48,39.00,49.02,2000,2000,2000,2000,2850,2850,2850,2850,81.70,6400,99.00,852,57,43.90,1532,3.856
56,0,0,33.02,49.94,58.70,53.92,53.68,54.55,53.54,45.10,28.71,52.00,1300,1300,1300,1300,1300,1300,1300,600,80.80,5500,98.00,852,57,43.90,1532,3.839
57,0,0,66.00,45.89,51.09,49.49,53.06,37.89,62.89,43.56,26.00,46.46,850,850,850,850,1300,1300,1300,1300,79.60,4266,93.00,815,57,43.90,1664,3.839
60,0,0,33.01,47.41,53.85,54.55,46.94,45.26,59.18,44.21,23.96,51.00,2000,2000,2000,2000,1200,1200,1200,1300,80.20,5500,97.00,845,57,43.90,1706,3.839
60,0,0,33.00,45.43,50.00,48.96,42.71,41.67,61.86,41.41,27.27,48.51,800,800,800,800,1400,1400,1400,1400,80.50,6400,98.00,815,57,43.90,1706,3.852
57,0,0,49.50,48.37,51.69,55.21,47.37,51.58,61.46,47.00,31.00,44.33,1200,1200,1200,1200,1500,1500,1500,1500,79.70,4266,98.00,852,57,43.90,1706,3.852
55,0,0,49.52,48.62,54.12,50.52,46.24,51.58,54.08,41.67,35.79,54.08,1150,1150,1150,1150,1500,1500,1500,1300,81.10,5500,99.00,852,57,43.90,1634,3.852
53,0,0,49.50,51.09,52.13,54.08,45.92,48.98,64.29,45.00,39.80,58.59,1400,1400,1400,1400,1900,1900,1900,2850,82.00,5500,98.00,852,57,43.90,1634,3.852
53,0,0,33.04,46.10,49.43,48.45,38.95,42.86,48.45,47.42,38.24,54.55,900,900,900,900,1700,1700,1700,2850,83.10,5500,98.00,852,57,43.90,1850,3.822
52,0,0,49.48,51.02,57.89,53.13,45.36,48.48,60.00,42.86,44.55,57.58,1600,1600,1600,1600,1400,1400,1400,1100,82.10,5500,99.00,852,57,43.90,1857,3.822
54,0,0,49.49,55.72,60.00,59.78,51.11,49.48,63.44,59.00,43.62,58.00,1500,1500,1500,1500,900,900,900,1000,78.70,4266,85.00,521,57,43.90,1857,3.822
59,0,0,33.01,49.93,56.84,55.56,46.39,51.04,70.00,42.11,30.00,47.47,900,900,900,900,1400,1400,1400,1400,77.70,4266,78.00,747,57,43.90,1857,3.854
58,0,0,33.02,46.00,51.14,51.55,31.40,42.39,59.60,46.46,26.04,57.43,800,800,800,800,1400,1400,1400,1400,79.10,2667,97.00,852,57,43.90,1365,3.854
58,0,0,33.03,46.90,54.74,53.92,42.11,47.47,54.08,45.63,26.73,50.98,2000,2000,2000,2000,1700,1700,1700,1000,79.90,5500,98.00,830,57,43.90,1365,3.854
58,0,0,33.01,49.48,56.04,56.70,54.17,51.02,62.11,45.45,27.55,44.90,2000,2000,2000,2000,2300,2300,2300,500,81.10,6400,98.00,852,57,43.90,1619,3.853
52,0,0,49.50,48.83,56.12,48.96,48.00,49.02,52.38,50.00,32.65,52.43,1150,1150,1150,1150,1400,1400,1400,1300,81.10,6400,98.00,852,57,43.90,1774,3.853
58,0,0,33.07,50.65,54.95,49.48,40.22,50.00,62.11,52.83,38.00,58.42,800,800,800,800,1600,1600,1600,500,80.90,5500,98.00,852,57,43.90,1774,3.853
50,0,0,49.51,48.79,57.14,45.74,45.26,46.39,53.54,53.06,33.66,55.67,2000,2000,2000,2000,1200,1200,1200,1500,81.70,4266,98.00,852,57,43.90,1774,3.853
53,0,0,33.04,47.76,54.17,47.42,42.11,47.96,59.79,43.00,34.69,52.43,800,800,800,800,1100,1100,1100,1100,81.70,4266,98.00,852,57,43.90,1729,3.846
58,0,0,33.00,45.51,51.06,51.55,42.27,38.78,60.00,35.79,30.61,53.54,1400,1400,1400,1400,2750,2750,2750,1200,81.00,3200,95.00,800,57,43.90,1729,3.846
55,0,0,33.03,45.42,51.65,49.46,41.05,44.79,60.00,43.56,27.27,46.94,1300,1300,1300,1300,1400,1400,1400,500,80.90,3200,98.00,852,57,43.90,1785,3.846
54,0,0,82.52,45.08,54.74,46.32,40.00,45.36,54.81,40.40,22.77,54.90,1300,1300,1300,1300,1200,1200,1200,1100,78.50,3200,91.00,695,57,43.90,1626,3.852
58,0,0,49.51,47.72,56.70,56.38,60.61,45.26,64.58,38.95,22.11,38.00,800,800,800,800,1100,1100,1100,1100,77.80,3200,92.00,668,56,43.90,1626,3.852
56,0,0,49.50,44.23,57.95,58.00,48.96,46.81,59.60,26.53,29.52,28.00,1400,1400,1400,1400,600,600,600,600,71.70,2667,93.00,219,56,43.90,1626,3.852
60,0,0,32.98,44.92,62.11,60.40,51.00,52.63,61.62,21.51,19.35,29.00,850,850,850,850,600,600,600,500,68.60,1866,74.00,219,56,43.90,688,3.882
45,1,1,82.54,41.49,60.40,53.06,46.46,43.16,52.63,31.25,21.65,21.28,800,800,800,800,2150,2150,2150,500,72.00,5500,0.00,219,56,43.90,639,3.882
36,0,0,247.55,39.90,55.66,46.08,39.00,40.63,42.86,36.36,22.55,35.64,900,900,900,900,1500,1500,1500,1300,73.70,4266,94.00,852,56,43.90,639,3.882
60,0,0,33.01,45.36,59.80,51.58,46.53,45.26,66.67,30.53,11.83,48.45,1600,1600,1600,1600,1400,1400,1400,1400,75.70,5500,80.00,852,56,43.90,1498,3.881
60,0,0,33.01,47.40,57.14,57.00,56.70,42.27,57.89,35.71,27.72,44.55,1000,1000,1000,1000,2850,2850,2850,2850,75.80,3200,98.00,852,56,43.90,1498,3.881
57,1,0,66.03,47.46,58.42,53.26,44.33,44.79,60.42,42.55,21.88,54.64,1300,1300,1300,1300,1500,1500,1500,1600,78.90,5500,97.00,852,56,43.90,1498,3.881
55,0,0,33.00,44.74,54.46,48.96,43.56,42.71,52.58,43.88,31.96,39.78,2000,2000,2000,2000,2150,2150,2150,1500,79.70,5500,98.00,852,56,43.90,1770,3.859
53,0,0,33.02,43.53,53.77,51.00,35.79,41.75,53.85,35.71,29.41,42.57,2000,2000,2000,2000,1800,1800,1800,2000,80.70,5500,98.00,852,56,43.90,1744,3.859
58,0,0,33.04,44.98,56.31,52.00,45.92,39.56,59.57,39.78,29.79,40.00,2000,2000,2000,2000,1200,1200,1200,1300,79.50,4266,89.00,852,56,43.90,1744,3.859
53,0,0,33.01,55.53,64.65,65.35,56.70,53.06,57.58,44.68,43.88,53.68,2000,2000,2000,2000,1800,1800,1800,2750,80.80,6400,95.00,852,56,43.90,1641,3.859
57,0,0,33.01,56.15,61.76,59.60,59.38,52.53,65.05,51.00,41.49,58.42,2000,2000,2000,2000,1400,1400,1400,1400,81.10,4266,98.00,852,56,43.90,1641,3.837
54,0,0,33.06,48.66,61.39,57.28,44.00,40.22,52.04,50.51,32.99,51.04,2000,2000,2000,2000,1000,1000,1000,1000,81.40,5500,98.00,852,56,43.90,1641,3.837
54,0,0,33.02,47.55,56.70,51.52,44.33,41.05,65.63,34.74,29.90,55.56,800,800,800,800,1100,1100,1100,1100,81.10,4266,97.00,852,56,43.90,1763,3.837
49,0,0,33.04,52.20,60.00,53.47,48.98,46.39,62.75,51.04,35.35,57.84,1300,1300,1300,1300,1100,1100,1100,500,80.40,5500,88.00,852,56,43.90,1645,3.851
55,0,0,33.03,50.13,60.00,56.12,47.92,47.87,57.29,45.92,27.08,57.89,1000,1000,1000,1000,1600,1600,1600,500,81.20,5500,97.00,852,56,43.90,1645,3.851
52,0,0,33.08,50.37,63.11,56.73,48.51,40.86,56.44,44.90,37.62,55.34,1800,1800,1800,1800,900,900,900,800,81.20,5500,98.00,852,56,43.90,1713,3.851
58,0,0,33.01,50.32,58.76,57.84,43.48,50.53,64.65,43.01,25.81,55.00,2000,2000,2000,2000,1000,1000,1000,1000,76.80,2667,98.00,590,56,43.90,1713,3.848
58,0,0,33.01,48.48,56.38,53.92,48.00,46.46,67.68,38.14,28.71,48.48,1100,1100,1100,1100,1400,1400,1400,700,78.90,4266,98.00,800,56,43.90,1713,3.848
44,0,0,66.00,41.38,53.92,47.52,41.58,37.76,56.44,33.00,25.51,35.11,1150,1150,1150,1150,2150,2150,2150,2150,78.30,5500,60.00,852,56,43.90,1558,3.848
54,0,0,33.06,48.26,57.69,54.46,51.92,54.17,52.04,39.80,32.67,38.78,950,950,950,950,1200,1200,1200,500,79.90,5500,84.00,852,56,43.90,1623,3.848
58,0,0,33.01,50.00,58.06,53.68,46.94,52.00,65.26,46.00,34.69,48.00,1700,1700,1700,1700,1700,1700,1700,1700,78.50,4266,94.00,721,56,43.90,1623,3.852
51,0,0,49.51,42.31,53.40,49.50,37.37,37.76,56.57,40.43,26.04,36.46,1900,1900,1900,1900,2450,2450,2450,700,80.90,5500,78.00,852,56,43.90,1649,3.852
53,0,0,33.06,48.52,58.59,54.81,56.57,53.06,51.96,40.00,28.00,42.86,800,800,800,800,1700,1700,1700,2750,77.50,5500,94.00,538,56,43.90,1649,3.852
55,0,0,65.99,47.72,57.43,55.88,48.51,50.53,63.92,33.33,21.65,50.50,2000,2000,2000,2000,2450,2450,2450,2000,79.80,6400,94.00,852,56,43.90,1649,3.853
52,0,0,99.00,47.74,54.17,54.37,48.45,53.13,50.98,51.00,26.73,43.00,1150,1150,1150,1150,1400,1400,1400,800,80.50,3200,98.00,852,56,43.90,1747,3.853
53,0,0,65.99,45.53,58.10,50.50,45.83,49.48,50.00,41.84,24.24,41.18,1100,1100,1100,1100,1000,1000,1000,500,78.30,5500,91.00,721,56,43.90,1683,3.853
60,0,0,33.00,47.92,55.88,49.46,51.04,51.09,65.59,38.14,22.34,51.46,2000,2000,2000,2000,2000,2000,2000,2150,79.00,5500,65.00,807,56,43.90,1683,3.853
59,0,0,33.00,46.20,56.86,51.52,44.33,48.54,61.86,41.75,18.09,50.00,1500,1500,1500,1500,1400,1400,1400,500,79.90,6400,98.00,852,56,43.90,1581,3.849
59,0,0,33.00,45.48,58.59,48.94,47.37,44.21,63.54,38.54,16.49,44.21,800,800,800,800,2100,2100,2100,500,80.30,6400,99.00,852,56,43.90,1581,3.849
53,0,0,33.01,46.22,58.10,51.02,40.86,44.44,54.64,35.79,31.91,49.49,2000,2000,2000,2000,1100,1100,1100,1100,80.60,4266,98.00,852,56,43.90,1581,3.849
55,0,0,33.05,50.64,59.60,57.58,49.48,55.67,56.57,39.36,34.69,49.46,800,800,800,800,700,700,700,600,76.00,2667,98.00,642,56,43.90,1483,3.847
59,0,0,33.06,54.56,62.63,53.68,55.10,60.40,73.47,50.51,24.73,55.88,1250,1250,1250,1250,1000,1000,1000,900,74.60,3200,98.00,572,56,44.00,1097,3.847
60,0,0,33.01,50.52,63.27,55.91,52.04,61.05,70.53,38.14,17.89,45.10,1100,1100,1100,1100,1200,1200,1200,900,73.20,3200,79.00,642,56,44.00,1097,3.847
57,0,0,49.54,50.95,57.69,52.63,51.55,47.96,57.58,57.28,38.38,46.00,1600,1600,1600,1600,2000,2000,2000,1300,76.50,5500,100.00,800,56,44.00,1255,3.847
56,0,0,33.02,47.90,53.06,52.08,38.30,52.04,41.41,49.49,40.43,53.00,1200,1200,1200,1200,800,800,800,1000,79.40,6400,95.00,852,56,44.00,1255,3.842
53,0,0,33.01,48.26,56.86,50.53,43.88,44.68,52.53,41.24,40.21,56.84,2000,2000,2000,2000,1500,1500,1500,500,79.90,4266,98.00,852,56,44.00,1255,3.842
55,0,0,33.01,53.12,58.82,54.00,47.47,52.08,62.75,50.50,36.63,61.54,1100,1100,1100,1100,1200,1200,1200,500,79.60,4266,94.00,845,56,44.00,1732,3.842
53,0,0,33.01,46.02,53.26,48.39,38.95,43.30,54.64,41.41,36.36,52.94,1300,1300,1300,1300,1500,1500,1500,1400,80.00,5500,99.00,852,56,44.00,1732,3.849
59,0,0,33.01,49.35,57.58,51.09,52.58,43.16,60.00,43.30,30.93,55.56,1100,1100,1100,1100,1000,1000,1000,900,75.50,3200,87.00,538,56,44.00,1732,3.849
58,0,0,33.01,46.41,54.26,48.91,45.16,51.52,60.20,46.94,21.28,41.05,1000,1000,1000,1000,1400,1400,1400,1500,77.30,3200,95.00,773,56,44.00,1195,3.849
59,0,0,33.01,44.47,52.17,50.53,38.54,44.09,60.00,43.16,25.00,43.56,1050,1050,1050,1050,1300,1300,1300,800,78.00,3200,98.00,852,56,44.00,1195,3.861
51,0,0,33.04,45.30,54.55,46.15,43.62,40.21,55.21,39.39,35.64,48.51,1800,1800,1800,1800,1400,1400,1400,900,78.40,4266,99.00,852,56,44.00,1195,3.861
59,0,0,32.99,48.99,52.44,52.27,45.83,46.24,64.21,46.32,33.70,53.54,850,850,850,850,1200,1200,1200,1200,78.80,4266,95.00,852,56,44.00,1418,3.861
58,0,0,33.01,50.79,57.78,56.38,53.13,49.49,58.76,45.26,29.47,55.10,1700,1700,1700,1700,1200,1200,1200,1000,79.20,5500,97.00,852,56,44.00,1418,3.845
59,0,0,32.99,44.81,52.94,47.25,43.01,45.16,56.57,41.84,22.92,49.47,1500,1500,1500,1500,1400,1400,1400,1600,79.50,4266,98.00,852,56,44.00,1418,3.845
54,0,0,33.07,50.96,58.24,54.08,49.49,46.08,65.66,44.79,38.00,51.52,2000,2000,2000,2000,2850,2850,2850,1000,83.00,4266,95.00,852,56,44.00,1573,3.845
55,0,0,49.50,49.60,52.44,46.59,44.09,44.68,67.00,51.55,35.05,54.00,1300,1300,1300,1300,1400,1400,1400,1000,79.90,4266,98.00,852,56,44.00,1573,3.851
56,0,0,49.51,45.62,49.41,49.45,42.27,44.44,60.64,53.61,23.91,42.71,1250,1250,1250,1250,1400,1400,1400,500,80.30,5500,93.00,852,56,44.00,1581,3.851
56,0,0,33.01,47.81,51.16,47.19,48.42,39.58,59.79,47.96,35.79,50.00,900,900,900,900,1600,1600,1600,1300,80.90,3200,98.00,852,56,44.00,1694,3.851
55,0,0,33.00,42.89,51.11,43.48,42.11,45.65,59.18,32.63,25.00,46.08,1600,1600,1600,1600,1400,1400,1400,500,80.40,3200,98.00,852,56,44.00,1694,3.851
54,0,0,33.01,46.63,55.06,47.78,41.05,45.16,57.89,46.46,28.87,52.00,2000,2000,2000,2000,1000,1000,1000,1000,81.00,4266,98.00,852,56,44.00,1694,3.846
56,0,0,49.52,53.57,60.00,50.00,51.02,47.31,68.69,50.00,36.46,63.92,950,950,950,950,1100,1100,1100,1100,79.50,4266,100.00,800,56,44.00,1634,3.846
57,0,0,33.00,49.15,55.17,49.44,49.48,47.31,59.41,52.58,29.70,50.51,1150,1150,1150,1150,1900,1900,1900,2850,79.90,4266,86.00,852,56,44.00,1634,3.846
53,0,0,33.02,44.91,50.00,47.31,45.74,51.52,57.58,36.08,30.00,42.00,1150,1150,1150,1150,1200,1200,1200,1200,80.30,4266,97.00,852,56,44.00,1653,3.856
47,1,1,82.49,43.39,51.69,46.15,46.07,48.45,42.55,34.38,40.63,38.30,800,800,800,800,1000,1000,1000,900,80.30,2667,97.00,852,56,44.00,1486,3.856
55,0,0,33.03,51.68,55.81,56.12,58.33,52.53,61.22,41.84,41.00,49.50,2000,2000,2000,2000,800,800,800,800,77.10,3200,97.00,695,56,44.00,1486,3.856
54,0,0,33.03,47.51,49.43,48.86,41.05,39.13,67.01,43.88,37.11,50.00,900,900,900,900,2850,2850,2850,2850,77.90,5500,95.00,773,56,44.00,1486,3.862
50,0,0,49.51,45.35,48.91,50.54,42.39,49.49,47.42,37.76,39.80,47.47,1250,1250,1250,1250,1000,1000,1000,1000,78.10,2667,100.00,773,56,44.00,1570,3.862
59,0,0,33.00,48.21,51.16,52.22,45.74,47.87,66.33,43.30,28.42,52.48,950,950,950,950,2200,2200,2200,2450,74.70,5500,99.00,487,56,44.00,1570,3.862
51,1,1,82.51,41.53,49.44,42.53,43.16,45.45,39.36,32.98,34.34,46.00,2000,2000,2000,2000,2200,2200,2200,1000,80.30,6400,76.00,642,56,44.00,1570,3.862
57,0,0,66.00,44.07,46.59,45.56,43.62,45.36,63.54,37.86,25.25,43.69,2000,2000,2000,2000,1800,1800,1800,600,78.00,5500,97.00,800,56,44.00,1524,3.864
59,0,0,33.02,47.22,53.19,53.26,43.01,46.32,66.67,42.16,23.23,50.48,1200,1200,1200,1200,1300,1300,1300,1300,78.60,4266,98.00,852,56,44.00,1524,3.864
59,0,0,32.99,45.44,55.43,45.45,48.42,45.83,66.67,39.80,14.89,48.57,2000,2000,2000,2000,1600,1600,1600,1700,79.50,5500,97.00,852,56,44.00,1524,3.864
55,0,0,49.50,46.75,50.00,50.00,38.89,45.45,63.27,42.27,33.33,49.00,2000,2000,2000,2000,2150,2150,2150,800,78.60,6400,99.00,807,56,44.00,1600,3.848
54,0,0,33.00,44.92,50.00,42.22,37.89,38.95,46.53,55.56,34.31,52.00,2000,2000,2000,2000,1000,1000,1000,2050,80.60,5500,98.00,852,56,44.00,1600,3.848
50,0,0,33.06,45.89,52.27,49.46,40.63,44.33,46.39,45.00,38.61,51.52,850,850,850,850,1400,1400,1400,1400,80.80,5500,98.00,852,56,44.00,1740,3.848
55,0,0,33.03,54.16,55.43,51.61,48.91,52.04,65.66,57.69,39.36,61.62,1500,1500,1500,1500,1800,1800,1800,1100,80.60,4266,98.00,852,56,44.00,1657,3.843
51,1,0,66.01,51.22,56.38,47.83,40.22,50.00,62.63,56.31,39.60,57.43,1300,1300,1300,1300,1100,1100,1100,2850,76.20,2667,98.00,487,56,44.00,1657,3.843
58,0,0,33.05,53.51,50.59,54.74,57.45,49.49,60.00,64.65,38.78,50.51,1800,1800,1800,1800,800,800,800,700,74.20,4266,100.00,572,56,44.00,1657,3.843
59,0,0,33.01,55.20,63.22,57.78,61.70,58.16,72.73,51.04,24.74,53.61,1600,1600,1600,1600,900,900,900,900,73.10,4266,96.00,616,56,44.00,1002,3.873
56,0,0,49.51,50.07,54.12,54.84,48.39,57.58,71.88,41.24,23.71,49.49,800,800,800,800,2450,2450,2450,2550,74.80,3200,96.00,852,56,44.00,1002,3.873
59,0,0,33.00,48.94,50.00,52.27,47.25,49.48,59.60,44.33,37.37,52.94,2000,2000,2000,2000,1900,1900,1900,1400,76.10,4266,96.00,747,56,44.00,1513,3.873
59,0,0,33.04,44.28,48.28,49.45,42.11,50.00,63.46,40.00,19.15,39.39,800,800,800,800,1700,1700,1700,500,77.90,3200,99.00,852,56,44.00,1585,3.849
54,0,0,33.01,43.83,50.56,52.13,38.46,46.08,52.00,45.10,27.72,41.00,2000,2000,2000,2000,1600,1600,1600,1600,78.70,4266,97.00,815,56,44.00,1585,3.849
56,0,0,33.09,43.78,45.78,50.54,34.09,49.00,52.04,37.11,34.69,45.92,2000,2000,2000,2000,1200,1200,1200,500,79.70,4266,98.00,852,56,44.00,1585,3.849
54,0,0,33.04,48.69,53.93,49.45,45.92,47.96,50.00,52.53,33.67,55.56,1900,1900,1900,1900,1500,1500,1500,500,80.30,5500,99.00,852,56,44.00,1747,3.849
52,0,0,33.01,49.81,49.41,49.45,47.00,43.30,61.86,48.00,34.34,64.00,2000,2000,2000,2000,1700,1700,1700,1200,80.10,5500,98.00,852,56,44.00,1747,3.851
50,0,0,49.50,49.61,51.14,48.31,44.57,56.57,57.73,39.80,38.78,59.00,1100,1100,1100,1100,900,900,900,900,78.80,3200,80.00,822,56,44.00,1641,3.851
55,0,0,33.10,48.09,52.17,48.42,50.00,47.52,61.00,39.39,39.22,50.00,1200,1200,1200,1200,2400,2400,2400,1500,80.30,4266,86.00,852,56,44.00,1494,3.851
57,0,0,33.00,43.92,50.00,45.05,46.32,43.62,57.58,41.84,15.63,52.48,2000,2000,2000,2000,2850,2850,2850,2150,80.90,5500,93.00,852,56,44.00,1494,3.84
57,0,0,33.02,54.61,49.44,50.55,44.44,59.79,64.95,51.02,45.92,67.37,800,800,800,800,1400,1400,1400,500,81.60,4266,98.00,852,56,44.00,1494,3.84
50,0,0,66.00,46.40,48.24,45.56,46.88,38.71,61.46,46.53,34.69,47.52,1700,1700,1700,1700,1400,1400,1400,500,79.50,4266,98.00,747,56,44.00,1785,3.84
59,0,0,33.02,48.38,52.22,54.26,44.79,50.51,63.27,45.45,26.26,51.46,800,800,800,800,1400,1400,1400,1300,80.00,5500,98.00,800,56,44.00,1785,3.855
60,0,0,33.01,45.20,50.00,52.17,40.00,43.88,63.00,41.24,26.53,45.45,950,950,950,950,1500,1500,1500,1400,81.10,5500,98.00,852,56,44.00,1596,3.855
46,0,0,66.00,37.93,42.17,44.09,41.49,40.82,49.49,33.33,19.19,35.71,850,850,850,850,2150,2150,2150,2150,78.80,6400,99.00,852,56,44.00,1676,3.855
54,0,0,33.05,52.12,60.44,55.68,57.43,57.58,53.00,45.36,39.22,49.00,1200,1200,1200,1200,1200,1200,1200,1300,80.90,3200,97.00,852,56,44.00,1676,3.855
58,0,0,33.01,49.15,49.43,53.93,47.37,49.48,59.18,48.98,31.00,54.46,1250,1250,1250,1250,2850,2850,2850,500,78.40,3200,88.00,721,56,44.00,1676,3.839
52,0,0,33.00,42.25,47.13,43.82,37.63,37.11,48.48,43.81,33.65,46.53,1250,1250,1250,1250,2450,2450,2450,2550,81.20,5500,92.00,852,56,44.00,1585,3.839
56,0,0,33.00,42.69,48.91,50.52,44.00,41.05,55.67,38.54,19.39,42.16,900,900,900,900,1700,1700,1700,1800,77.10,3200,100.00,555,56,44.00,1585,3.839
56,0,0,33.04,44.96,51.19,47.87,48.42,48.48,50.98,41.58,28.57,44.66,1150,1150,1150,1150,2850,2850,2850,2000,79.70,4266,98.00,852,56,44.00,1585,3.855
54,1,1,99.02,42.08,44.19,45.05,37.50,51.00,46.88,36.08,19.79,57.58,1000,1000,1000,1000,1400,1400,1400,1400,80.00,5500,93.00,822,56,44.00,1778,3.855
54,0,0,49.50,47.15,49.43,52.17,45.26,53.54,48.45,40.82,32.35,54.08,1100,1100,1100,1100,1400,1400,1400,1400,80.20,4266,95.00,800,56,44.00,1778,3.855
56,0,0,33.09,46.00,51.16,50.00,43.88,46.88,59.79,45.00,26.32,47.47,850,850,850,850,1000,1000,1000,1100,79.90,5500,97.00,852,56,44.00,1778,3.843
58,1,0,66.01,44.63,51.16,48.91,44.21,48.48,57.14,32.99,28.28,44.12,1200,1200,1200,1200,2400,2400,2400,500,79.50,4266,99.00,830,56,44.00,1513,3.843
59,0,0,33.01,44.30,51.65,48.42,44.09,50.00,62.63,39.18,20.00,39.80,1100,1100,1100,1100,1400,1400,1400,500,80.20,5500,95.00,852,56,44.00,1513,3.843
59,0,0,33.01,57.20,59.55,63.04,50.53,54.08,66.02,50.52,40.78,74.26,1900,1900,1900,1900,1900,1900,1900,2000,80.50,6400,98.00,852,56,44.00,1816,3.841
57,0,0,49.50,48.84,50.00,48.94,43.43,45.10,63.64,48.45,27.55,63.00,1150,1150,1150,1150,1400,1400,1400,500,81.80,4266,98.00,852,56,44.00,1808,3.841
55,0,0,49.45,47.99,53.41,46.15,39.36,50.00,58.00,44.33,30.61,59.41,1200,1200,1200,1200,1400,1400,1400,1300,82.10,6400,100.00,852,56,44.00,1808,3.841
54,0,0,33.02,49.94,55.43,46.81,42.86,48.48,58.59,49.49,38.89,60.95,800,800,800,800,1100,1100,1100,1100,81.90,2667,98.00,852,56,44.00,1808,3.837
53,0,0,49.47,50.92,50.56,50.00,48.45,53.61,60.42,45.83,37.11,59.60,1800,1800,1800,1800,1700,1700,1700,500,81.40,5500,98.00,852,56,44.00,1630,3.837
52,0,0,49.52,48.68,52.44,48.91,41.30,48.42,61.39,44.44,40.40,52.53,1050,1050,1050,1050,1600,1600,1600,600,79.90,4266,50.00,668,56,44.00,1630,3.837
57,0,0,33.00,51.61,57.14,57.73,52.04,54.64,65.31,47.47,29.79,50.50,2000,2000,2000,2000,1000,1000,1000,800,76.50,3200,96.00,572,56,44.00,1630,3.837
60,0,0,33.02,48.58,60.64,53.13,51.52,54.90,69.00,37.89,16.84,42.86,1100,1100,1100,1100,1000,1000,1000,1000,75.20,2667,91.00,572,56,44.00,1199,3.863
59,0,0,33.01,48.03,53.93,56.25,54.46,56.57,70.41,28.42,15.00,49.07,1250,1250,1250,1250,1200,1200,1200,500,74.60,2667,99.00,721,56,44.00,1199,3.863
57,0,0,49.50,46.19,45.88,51.65,39.33,48.94,62.24,34.74,40.21,44.90,1300,1300,1300,1300,2850,2850,2850,1000,79.80,6400,98.00,852,56,44.00,1199,3.863
54,0,0,33.02,44.15,47.67,46.94,39.58,47.57,46.53,44.23,33.65,49.52,2000,2000,2000,2000,1600,1600,1600,500,79.90,4266,98.00,852,56,44.00,1770,3.843
57,0,0,33.02,48.33,51.14,53.13,50.52,47.12,59.79,44.33,31.31,50.98,850,850,850,850,1300,1300,1300,1400,76.00,2667,91.00,538,56,44.00,1706,3.843
59,0,0,33.00,47.48,49.44,48.39,46.00,46.94,67.68,42.55,27.45,48.45,1300,1300,1300,1300,1800,1800,1800,1800,77.90,5500,89.00,807,56,44.00,1706,3.843
